Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Dairy Products,280.0,Wedding,480.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Low,15.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Finger Food,Suburban,High,40.0
BAKED GOODS,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25.0
Dairy Products,208.0,Birthday,282.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,22.0
Vegetables,230.0,Social Gathering,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,30.0
 Dairy Products ,220.0, Birthday ,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Dairy Products,280.0,SOCIAL GATHERING,350.0, Room Temperature ,Regular,All Seasons,Finger Food,Rural,Low,20.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,15.0
Dairy Products,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Baked Goods,208.0,Social Gathering,,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,22.0
Fruits,261.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23.0
Meat,320.0,birthday,480.0,Refrigerated,Regular,Winter,Buffet,Suburban,High,40.0
fruits,300.0,Wedding,400.0,Refrigerated,Regular,Winter,Buffet,Suburban,High,40.0
Meat,491.0,Birthday,497.0,Refrigerated,Regular,Winter,Finger Food,Rural,High,32.0
Meat,220.0,Corporate,300.0,Refrigerated,Occasional,Winter,Buffet,Suburban,Low,10.0
Meat,275.0,Wedding,388.0,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,16.0
Dairy Products,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,320.0,Social Gathering,400.0, Room Temperature ,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,30.0
Meat,320.0,Wedding,400.0,refrigerated,Regular,Winter,Finger Food,Rural,Moderate,25.0
Meat,380.0,Corporate,480.0,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30.0
Meat,442.0,Corporate,482.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,32.0
baked goods,250.0,Wedding,350.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,10.0
Baked Goods,250.0,Corporate,500.0,Room Temperature,Regular,Summer,Buffet,Urban,High,40.0
Vegetables,300.0,Wedding,400.0,Refrigerated,Regular,Winter,Buffet,Suburban,Low,20.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,20.0
Meat,320.0,Social Gathering,400.0,Refrigerated,Regular,Winter,Buffet,Rural,High,30.0
Meat,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Meat,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Meat,380.0,Wedding,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,400.0,Birthday,500.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,High,40.0
Fruits,350.0,Corporate,450.0,Room Temperature,Occasional,Winter,Finger Food,Rural,Low,20.0
 Vegetables ,,Wedding,,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,10.0
Fruits,250.0,Wedding,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Fruits,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,15.0
Fruits,400.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Meat,300.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Fruits,320.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,High,40.0
Meat,230.0,Corporate,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Urban,Low,20.0
Meat,453.0,Corporate,484.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,54.0
Fruits,380.0,Wedding,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,320.0,Corporate,480.0,Room Temperature,Occasional,Winter,Buffet,Suburban,High,40.0
Meat,491.0,Social Gathering,497.0,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,32.0
Fruits,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,400.0,Wedding,,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Fruits,450.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,30.0
Vegetables,220.0,Corporate,300.0,REFRIGERATED,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Fruits,261.0,Corporate,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,23.0
Fruits,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Baked Goods,220.0,Social Gathering,,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20.0
Baked Goods,292.0,Wedding,470.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Dairy Products,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,
Baked Goods,400.0,Wedding,500.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Baked Goods,453.0,Birthday,484.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,54.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Dairy Products,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Dairy Products,310.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,35.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,
 Baked Goods ,,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,30.0
Baked Goods,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20.0
Baked Goods,,Social Gathering,482.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,31.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,320.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Rural,High,40.0
Vegetables,280.0,Wedding,350.0,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,20.0
Meat,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Dairy Products,438.0,Wedding,493.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35.0
Vegetables,412.0,Social Gathering,478.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,38.0
Dairy Products,300.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,
Dairy Products,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Dairy Products,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,30.0
MEAT,280.0,Corporate,350.0,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20.0
fruits,320.0,Birthday,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Baked Goods,367.0,Birthday,420.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,40.0
Vegetables,220.0,Wedding,300.0,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10.0
Baked Goods,250.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
BAKED GOODS,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Dairy Products,310.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35.0
Baked Goods,342.0,Social Gathering,405.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,29.0
Dairy Products,,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Vegetables,302.0,Birthday,371.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,Low,27.0
Meat,,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Fruits,400.0,Wedding,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,
Meat,250.0,Corporate,400.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,Low,25.0
Meat,453.0,Birthday,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54.0
Meat,208.0,Wedding,282.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,22.0
Meat,320.0,Wedding,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25.0
Fruits,292.0,Wedding,470.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Rural,High,50.0
Meat,240.0,Wedding,450.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,20.0
Meat,220.0,Wedding,300.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15.0
Meat,350.0,Wedding,450.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15.0
Meat,380.0,Corporate,480.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,
Baked Goods,320.0, Birthday ,400.0,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,25.0
Fruits,350.0,Corporate,450.0,ROOM TEMPERATURE,Regular,Winter,Finger Food,Suburban,High,30.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Fruits,280.0,Birthday,350.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
Fruits,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Meat,400.0,Corporate,500.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Fruits,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,25.0
Meat,250.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,400.0,Corporate,1130.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,40.0
Fruits,280.0,Corporate,350.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Low,25.0
Fruits,320.0,WEDDING,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,320.0,SOCIAL GATHERING,400.0,Refrigerated,Occasional,Winter,Buffet,Rural,High,30.0
Meat,220.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Fruits,350.0,BIRTHDAY,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,400.0,Wedding,1130.0,Room Temperature,Occasional,Winter,Finger Food,Urban,High,40.0
fruits,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,30.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15.0
Meat,350.0,Wedding,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Vegetables,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,
Vegetables,280.0,Birthday,350.0, Refrigerated ,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Fruits,310.0,Corporate,350.0,Room Temperature,Occasional,All Seasons,Finger Food,Urban,High,
Vegetables,220.0,Social Gathering,300.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,15.0
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,
Fruits,380.0,Social Gathering,480.0,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30.0
Fruits,300.0,Social Gathering,,Room Temperature,Regular,Winter,Buffet,Suburban,High,30.0
Dairy Products,284.0,Birthday,443.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,32.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Fruits,,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Vegetables,400.0,Wedding,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Baked Goods,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Fruits,400.0,Wedding,500.0, Room Temperature ,Regular,All Seasons,Sit-down Dinner,Suburban,High,
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30.0
Meat,280.0,Social Gathering,350.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0,BIRTHDAY,450.0,ROOM TEMPERATURE,Regular,All Seasons,Sit-down Dinner,Urban,High,45.0
Vegetables,220.0,social gathering,450.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,30.0
Fruits,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15.0
Dairy Products,230.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20.0
Dairy Products,438.0,Wedding,493.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,35.0
Vegetables,300.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Occasional,All Seasons,Buffet,Suburban,High,30.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Low,25.0
DAIRY PRODUCTS,350.0,Birthday,,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,765.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Vegetables,280.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,250.0,Corporate,350.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Rural,Moderate,25.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Dairy Products,342.0,Corporate,405.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,29.0
Baked Goods,380.0,Social Gathering,480.0,Room Temperature,Occasional,Winter,Buffet,Suburban,Moderate,30.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Baked Goods,280.0,Social Gathering,,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
baked goods,300.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
MEAT,300.0,SOCIAL GATHERING,,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Fruits,400.0,Social Gathering,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,25.0
Fruits,300.0,Birthday,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,
Fruits,400.0, Wedding ,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50.0
Dairy Products,,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Vegetables,280.0,Birthday,480.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,15.0
Baked Goods,400.0, Wedding ,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Dairy Products,280.0,Birthday,,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20.0
Dairy Products,250.0,Corporate,350.0, Room Temperature ,Regular,Winter,Finger Food,Urban,Moderate,20.0
Dairy Products,280.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20.0
 Dairy Products ,250.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,380.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Baked Goods,250.0,Corporate,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,50.0
Baked Goods,290.0,Social Gathering,374.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,27.0
Dairy Products,350.0, Wedding ,450.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,35.0
Baked Goods,491.0,Social Gathering,497.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30.0
Baked Goods,247.0,Corporate,348.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16.0
 Dairy Products ,400.0,Birthday,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Fruits,250.0,Social Gathering,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,765.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Meat,284.0,Birthday,443.0,Refrigerated,Regular,Summer,Buffet,Urban,Low,32.0
Meat,280.0,Corporate,350.0,Refrigerated,Regular,Winter,Buffet,Urban,Low,20.0
Meat,300.0,Wedding,400.0,Refrigerated,Occasional,Winter,Buffet,Suburban,Low,20.0
Meat,,Corporate,400.0,Refrigerated,Regular,Winter,Buffet,Suburban,High,40.0
Meat,310.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25.0
Meat,412.0, Wedding ,,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,38.0
Meat,434.0,Wedding,495.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Low,36.0
Meat,250.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30.0
Meat,400.0,Corporate,,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
fruits,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20.0
MEAT,300.0,Social Gathering,400.0,Refrigerated,Regular,Winter,Buffet,Suburban,Low,20.0
Meat,300.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Meat,,Social Gathering,400.0,Room Temperature,Regular,Winter,Buffet,Rural,High,
Meat,250.0,Social Gathering,350.0,REFRIGERATED,Regular,All Seasons,Buffet,Urban,Low,10.0
Vegetables,320.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Meat,300.0,Social Gathering,400.0,room temperature,Regular,Winter,Buffet,Suburban,Low,20.0
Meat,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25.0
Fruits,400.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Meat,310.0,Social Gathering,450.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,25.0
Fruits,250.0,wedding,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30.0
Meat,300.0,Corporate,400.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25.0
Vegetables,,Birthday,400.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Vegetables,280.0,Corporate,,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,Low,15.0
Baked Goods,434.0,Wedding,495.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,36.0
Fruits,280.0,Social Gathering,350.0,ROOM TEMPERATURE,Regular,Winter,Finger Food,Urban,Low,20.0
Fruits,400.0,Corporate,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Buffet,Rural,High,30.0
Meat,350.0,Wedding,450.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45.0
Meat,250.0,Wedding,350.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,20.0
Meat,230.0,Wedding,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,30.0
Meat,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,380.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Fruits,280.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Fruits,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30.0
Baked Goods,400.0,Wedding,500.0,ROOM TEMPERATURE,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20.0
Baked Goods,300.0,Birthday,400.0,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Low,20.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20.0
Meat,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Vegetables,300.0,Wedding,400.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Meat,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Dairy Products,230.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,20.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,Summer,Buffet,Suburban,Low,20.0
Meat,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Fruits,,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,10.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,
Dairy Products,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,Summer,Buffet,Urban,High,
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Buffet,Urban,High,40.0
Fruits,250.0,Wedding,,refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
FRUITS,320.0,Wedding,,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25.0
Meat,267.0,Birthday,393.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,24.0
Fruits,400.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Fruits,350.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,High,54.0
